Inicio del log de la simulación
Añadido: 83. || Tamaño de cola: 1 || Capacidad: 50
Añadido: 14. || Tamaño de cola: 70 || Capacidad: 100
Añadido: 67. || Tamaño de cola: 71 || Capacidad: 100
Añadido: 34. || Tamaño de cola: 72 || Capacidad: 100
Añadido: 64. || Tamaño de cola: 73 || Capacidad: 100
Añadido: 43. || Tamaño de cola: 74 || Capacidad: 100
Añadido: 50. || Tamaño de cola: 75 || Capacidad: 100
Añadido: 87. || Tamaño de cola: 76 || Capacidad: 100
Añadido: 8. || Tamaño de cola: 77 || Capacidad: 100
Añadido: 76. || Tamaño de cola: 78 || Capacidad: 100
Añadido: 78. || Tamaño de cola: 79 || Capacidad: 100
Añadido: 88. || Tamaño de cola: 80 || Capacidad: 100
Añadido: 84. || Tamaño de cola: 81 || Capacidad: 100
Añadido: 3. || Tamaño de cola: 82 || Capacidad: 100
Añadido: 51. || Tamaño de cola: 83 || Capacidad: 100
Añadido: 54. || Tamaño de cola: 84 || Capacidad: 100
Añadido: 99. || Tamaño de cola: 85 || Capacidad: 100
Añadido: 32. || Tamaño de cola: 86 || Capacidad: 100
Añadido: 60. || Tamaño de cola: 87 || Capacidad: 100
Añadido: 76. || Tamaño de cola: 88 || Capacidad: 100
Añadido: 68. || Tamaño de cola: 89 || Capacidad: 100
Añadido: 39. || Tamaño de cola: 90 || Capacidad: 100
Añadido: 12. || Tamaño de cola: 91 || Capacidad: 100
Añadido: 26. || Tamaño de cola: 92 || Capacidad: 100
Añadido: 86. || Tamaño de cola: 93 || Capacidad: 100
Añadido: 94. || Tamaño de cola: 94 || Capacidad: 100
Añadido: 39. || Tamaño de cola: 95 || Capacidad: 100
